episode,mean_reward,total_reward,decay_factor,evaluation_reward_greedy_mean,evaluation_reward_greedy_std,moving_avg_train_reward,total_shaped_reward,total_sparse_reward,moving_avg_shaped_reward,moving_avg_sparse_reward
0,0.075,30.0,1.0,0.0,0.0,30.0,30.0,0,30.0,0.0
1,0.07499375,29.9975,0.9999166666666667,0.0,0.0,29.99875,30.0,0,30.0,0.0
2,0.0,0.0,0.9998333333333334,0.0,0.0,19.999166666666667,0.0,0,20.0,0.0
3,0.0,0.0,0.99975,0.0,0.0,14.999375,0.0,0,15.0,0.0
4,0.074975,29.990000000000002,0.9996666666666667,0.0,0.0,17.997500000000002,30.0,0,18.0,0.0
5,0.07496875,29.9875,0.9995833333333334,0.0,0.0,19.995833333333334,30.0,0,20.0,0.0
6,0.0749625,29.985000000000003,0.9995,0.0,0.0,21.422857142857143,30.0,0,21.428571428571427,0.0
7,0.1499125,59.964999999999996,0.9994166666666666,0.0,0.0,26.240625,60.0,0,26.25,0.0
8,0.1499,59.96,0.9993333333333333,0.0,0.0,29.987222222222222,60.0,0,30.0,0.0
9,0.07494375,29.9775,0.99925,0.0,0.0,29.986250000000002,30.0,0,30.0,0.0
10,0.0,0.0,0.9991666666666666,0.0,0.0,27.260227272727274,0.0,0,27.272727272727273,0.0
11,0.0,0.0,0.9990833333333333,0.0,0.0,24.988541666666666,0.0,0,25.0,0.0
12,0.07492499999999999,29.97,0.999,0.0,0.0,25.37173076923077,30.0,0,25.384615384615383,0.0
13,0.07491875,29.9675,0.9989166666666667,0.0,0.0,25.699999999999996,30.0,0,25.714285714285715,0.0
14,0.0,0.0,0.9988333333333334,0.0,0.0,23.986666666666665,0.0,0,24.0,0.0
15,0.22471875,89.8875,0.99875,0.0,0.0,28.10546875,90.0,0,28.125,0.0
16,0.14980000000000002,59.92,0.9986666666666667,0.0,0.0,29.976911764705882,60.0,0,30.0,0.0
17,0.14978750000000002,59.915000000000006,0.9985833333333334,0.0,0.0,31.64013888888889,60.0,0,31.666666666666668,0.0
18,0.07488750000000001,29.955000000000002,0.9985,0.0,0.0,31.551447368421055,30.0,0,31.57894736842105,0.0
19,0.07488125,29.952499999999997,0.9984166666666666,0.0,0.0,31.471500000000002,30.0,0,31.5,0.0
20,0.14975,59.9,0.9983333333333333,0.0,0.0,32.8252380952381,60.0,0,32.857142857142854,0.0
21,0.12478125000000001,49.9125,0.99825,0.0,0.0,33.60193181818182,50.0,0,33.63636363636363,0.0
22,0.0,0.0,0.9981666666666666,0.0,0.0,32.140978260869566,0.0,0,32.17391304347826,0.0
23,0.0,0.0,0.9980833333333333,0.0,0.0,30.801770833333336,0.0,0,30.833333333333332,0.0
24,0.1497,59.88,0.998,0.0,0.0,31.964900000000004,60.0,0,32.0,0.0
25,0.07484375,29.9375,0.9979166666666667,0.0,0.0,31.88692307692308,30.0,0,31.923076923076923,0.0
26,0.0748375,29.935000000000002,0.9978333333333333,0.0,0.0,31.814629629629636,30.0,0,31.85185185185185,0.0
27,0.07483125,29.9325,0.99775,0.0,0.0,31.747410714285717,30.0,0,31.785714285714285,0.0
28,0.074825,29.93,0.9976666666666667,0.0,0.0,31.684741379310346,30.0,0,31.724137931034484,0.0
29,0.0,0.0,0.9975833333333334,0.0,0.0,30.628583333333335,0.0,0,30.666666666666668,0.0
30,0.0748125,29.925,0.9975,0.0,0.0,30.605887096774193,30.0,0,30.64516129032258,0.0
31,0.1496125,59.845,0.9974166666666666,0.0,0.0,31.519609375,60.0,0,31.5625,0.0
32,0.07479999999999999,29.919999999999998,0.9973333333333333,0.0,0.0,31.47113636363637,30.0,0,31.515151515151516,0.0
33,0.0,0.0,0.99725,0.0,0.0,30.545514705882358,0.0,0,30.58823529411765,0.0
34,0.14957499999999999,59.83,0.9971666666666666,0.0,0.0,31.382214285714287,60.0,0,31.428571428571427,0.0
