episode,mean_reward,total_reward,decay_factor,shaped_reward_first_step,sparse_reward_first_step,evaluation_reward_greedy
65,0.0725625,29.025000000000002,0.9675,0,0,0.0
66,0.036262499999999996,14.504999999999999,0.967,0,0,0.0
67,0.0,0.0,0.9665,0,0,0.0
68,0.036225,14.49,0.966,0,0,0.0
69,0.0,0.0,0.9655,0,0,0.0
70,0.0965,38.6,0.965,0,0,0.0
71,0.0,0.0,0.9645,0,0,0.0
72,0.036149999999999995,14.459999999999999,0.964,0,0,0.0
73,0.07226250000000001,28.905,0.9635,0,0,0.0
74,0.0601875,24.075,0.963,0,0,0.0
75,0.0,0.0,0.9625,0,0,0.0
76,0.036074999999999996,14.43,0.962,0,0,0.0
77,0.06009375,24.0375,0.9615,0,0,0.0
78,0.0360375,14.415,0.961,0,0,0.0
79,0.09605000000000001,38.42,0.9605,0,0,0.0
80,0.06,24.0,0.96,0,0,0.0
81,0.03598125,14.3925,0.9595,0,0,0.0
82,0.0,0.0,0.959,0,0,0.0
83,0.03594375,14.3775,0.9585,0,0,0.0
84,0.035925,14.37,0.958,0,0,0.0
85,0.03590625,14.3625,0.9575,0,0,0.0
86,0.07177499999999999,28.709999999999997,0.957,0,0,0.0
87,0.03586875,14.3475,0.9565,0,0,0.0
88,0.03585,14.34,0.956,0,0,0.0
89,0.0,0.0,0.9555,0,0,0.0
90,0.0955,38.2,0.955,0,0,0.0
91,0.03579375,14.3175,0.9545,0,0,0.0
92,0.0,0.0,0.954,0,0,0.0
93,0.0715125,28.605,0.9535,0,0,0.0
94,0.0595625,23.825,0.953,0,0,0.0
95,0.03571875,14.2875,0.9525,0,0,0.0
96,0.035699999999999996,14.28,0.952,0,0,0.0
97,0.05946875,23.7875,0.9515,0,0,0.0
98,0.0356625,14.264999999999999,0.951,0,0,0.0
99,0.0,0.0,0.9505,0,0,0
100,0.0,0.0,0.95,0,0,0.0
101,0.0,0.0,0.9495,0,0,0.0
102,0.16607499999999997,66.42999999999999,0.949,0,0,0.0
103,0.0711375,28.455000000000002,0.9485,0,0,0.0
104,0.03555,14.219999999999999,0.948,0,0,0.0
105,0.03553125,14.2125,0.9475,0,0,0.0
106,0.0,0.0,0.947,0,0,0.0
107,0.03549375,14.1975,0.9465,0,0,0.0
108,0.035475,14.19,0.946,0,0,0.0
109,0.0,0.0,0.9455,0,0,0.0
110,0.070875,28.349999999999998,0.945,0,0,0.0
111,0.03541875,14.1675,0.9445,0,0,0.0
112,0.0354,14.16,0.944,0,0,0.0
113,0.12973125,51.8925,0.9435,0,0,0.0
114,0.0,0.0,0.943,0,0,0.0
115,0.03534375,14.1375,0.9425,0,0,0.0
116,0.05887499999999999,23.549999999999997,0.942,0,0,0.0
117,0.0,0.0,0.9415,0,0,0.0
118,0.16467500000000002,65.87,0.9410000000000001,0,0,0.0
119,0.03526875,14.1075,0.9405,0,0,0.0
120,0.0,0.0,0.94,0,0,0.0
121,0.0,0.0,0.9395,0,0,0.0
122,0.0352125,14.085,0.9390000000000001,0,0,0.0
123,0.12904375,51.6175,0.9385,0,0,0.0
124,0.07035,28.139999999999997,0.938,0,0,0.0
125,0.0,0.0,0.9375,0,0,0.0
126,0.070275,28.110000000000003,0.937,0,0,0.0
127,0.0,0.0,0.9365,0,0,0.0
128,0.0351,14.04,0.9359999999999999,0,0,0.0
129,0.0,0.0,0.9355,0,0,0.0
130,0.213625,85.45,0.935,0,0,0.0
131,0.03504375,14.0175,0.9345,0,0,0.0
132,0.0,0.0,0.9339999999999999,0,0,0.0
133,0.0,0.0,0.9335,0,0,0.0
134,0.0,0.0,0.933,0,0,0.0
135,0.12821875,51.2875,0.9325,0,0,0.0
136,0.034949999999999995,13.979999999999999,0.9319999999999999,0,0,0.0
137,0.0,0.0,0.9315,0,0,0.0
138,0.0,0.0,0.931,0,0,0.0
139,0.03489375,13.9575,0.9305,0,0,0.0
140,0.058125,23.25,0.9299999999999999,0,0,0.0
141,0.09295,37.18,0.9295,0,0,0.0
142,0.0348375,13.935,0.929,0,0,0.0
143,0.03481875,13.9275,0.9285,0,0,0.0
144,0.0,0.0,0.928,0,0,0.0
145,0.1623125,64.925,0.9275,0,0,0.0
146,0.13905,55.620000000000005,0.927,0,0,0.0
147,0.0,0.0,0.9265,0,0,0.0
148,0.034725,13.89,0.926,0,0,0.0
149,0.03470625,13.8825,0.9255,0,0,0.0
150,0.0346875,13.875,0.925,0,0,0.0
151,0.0693375,27.735,0.9245,0,0,0.0
152,0.1193,47.72,0.924,0,0,0.0
153,0.034631249999999995,13.8525,0.9235,0,0,0.0
154,0.034612500000000004,13.845,0.923,0,0,0.0
155,0.03459375,13.8375,0.9225,0,0,0.0
156,0.06915,27.66,0.922,0,0,0.0
157,0.0,0.0,0.9215,0,0,0.0
158,0.034537500000000006,13.815000000000001,0.921,0,0,0.0
159,0.1610875,64.435,0.9205,0,0,0.0
160,0.0,0.0,0.92,0,0,0.0
161,0.0,0.0,0.9195,0,0,0.0
162,0.068925,27.57,0.919,0,0,0.0
163,0.10333124999999999,41.332499999999996,0.9185,0,0,0.0
164,0.034425000000000004,13.770000000000001,0.918,0,0,0.0
165,0.03440625,13.7625,0.9175,0,0,0.0
166,0.068775,27.51,0.917,0,0,0.0
167,0.03436875,13.7475,0.9165,0,0,0.0
168,0.0,0.0,0.916,0,0,0.0
169,0.09154999999999999,36.62,0.9155,0,0,0.0
170,0.068625,27.450000000000003,0.915,0,0,0.0
171,0.0,0.0,0.9145,0,0,0.0
172,0.17567500000000003,70.27000000000001,0.914,0,0,0.0
173,0.09135,36.54,0.9135,0,0,0.0
174,0.0,0.0,0.913,0,0,0.0
175,0.0684375,27.375,0.9125,0,0,0.0
176,0.0,0.0,0.912,0,0,0.0
177,0.17533125,70.1325,0.9115,0,0,0.0
178,0.0569375,22.775000000000002,0.911,0,0,0.0
179,0.03414375,13.657499999999999,0.9105,0,0,0.0
180,0.091,36.4,0.91,0,0,0.0
181,0.1591625,63.665,0.9095,0,0,0.0
182,0.068175,27.27,0.909,0,0,0.0
183,0.03406875,13.6275,0.9085,0,0,0.0
184,0.0,0.0,0.908,0,0,0.0
185,0.03403125,13.612499999999999,0.9075,0,0,0.0
186,0.12471250000000002,49.885000000000005,0.907,0,0,0.0
187,0.0,0.0,0.9065,0,0,0.0
188,0.12457499999999999,49.83,0.906,0,0,0.0
189,0.09054999999999999,36.22,0.9055,0,0,0.0
190,0.0,0.0,0.905,0,0,0.0
191,0.0678375,27.134999999999998,0.9045,0,0,0.0
192,0.09040000000000001,36.160000000000004,0.904,0,0,0.0
193,0.09035,36.14,0.9035,0,0,0.0
194,0.0338625,13.545,0.903,0,0,0.0
195,0.03384375,13.5375,0.9025,0,0,0.0
196,0.056375,22.55,0.902,0,0,0.0
197,0.0,0.0,0.9015,0,0,0.0
198,0.05631250000000001,22.525000000000002,0.901,0,0,0.0
199,0.09004999999999999,36.019999999999996,0.9005,0,0,0
200,0.03375,13.5,0.9,0,0,0.0
201,0.056218750000000005,22.4875,0.8995,0,0,0.0
202,0.067425,26.97,0.899,0,0,0.0
203,0.033693749999999995,13.4775,0.8985,0,0,0.0
204,0.033675000000000004,13.47,0.898,0,0,0.0
205,0.03365625,13.462499999999999,0.8975,0,0,0.0
206,0.0,0.0,0.897,0,0,0.0
207,0.0,0.0,0.8965,0,0,0.0
208,0.0,0.0,0.896,0,0,0.0
209,0.0671625,26.865,0.8955,0,0,0.0
210,0.10068750000000001,40.275000000000006,0.895,0,0,0.0
211,0.03354375,13.417499999999999,0.8945,0,0,0.0
212,0.0,0.0,0.894,0,0,0.0
213,0.03350625,13.4025,0.8935,0,0,0.0
214,0.1227875,49.114999999999995,0.893,0,0,0.0
215,0.12271875,49.0875,0.8925,0,0,0.0
216,0.0669,26.76,0.892,0,0,0.0
217,0.033431249999999996,13.372499999999999,0.8915,0,0,0.0
218,0.0334125,13.365,0.891,0,0,0.0
219,0.03339375,13.3575,0.8905,0,0,0.0
220,0.10012499999999999,40.05,0.89,0,0,0.0
221,0.08895,35.58,0.8895,0,0,0.0
222,0.12223750000000001,48.895,0.889,0,0,0.0
223,0.0,0.0,0.8885,0,0,0.0
224,0.0333,13.32,0.888,0,0,0.0
225,0.0,0.0,0.8875,0,0,0.0
226,0.0,0.0,0.887,0,0,0.0
227,0.033243749999999996,13.2975,0.8865,0,0,0.0
228,0.0,0.0,0.886,0,0,0.0
229,0.03320625,13.282499999999999,0.8855,0,0,0.0
230,0.0331875,13.275,0.885,0,0,0.0
231,0.03316875,13.2675,0.8845,0,0,0.0
232,0.0,0.0,0.884,0,0,0.0
233,0.0662625,26.505,0.8835,0,0,0.0
234,0.0,0.0,0.883,0,0,0.0
235,0.0,0.0,0.8825000000000001,0,0,0.0
236,0.12127500000000001,48.510000000000005,0.882,0,0,0.0
237,0.03305625,13.2225,0.8815,0,0,0.0
238,0.0330375,13.215,0.881,0,0,0.0
239,0.0,0.0,0.8805000000000001,0,0,0.0
240,0.066,26.4,0.88,0,0,0.0
241,0.0,0.0,0.8795,0,0,0.0
242,0.065925,26.37,0.879,0,0,0.0
243,0.03294375,13.1775,0.8785000000000001,0,0,0.0
244,0.0,0.0,0.878,0,0,0.0
245,0.0,0.0,0.8775,0,0,0.0
246,0.065775,26.31,0.877,0,0,0.0
247,0.03286875,13.1475,0.8765000000000001,0,0,0.0
248,0.0,0.0,0.876,0,0,0.0
249,0.0,0.0,0.8755,0,0,0.0
250,0.065625,26.25,0.875,0,0,0.0
251,0.03279375,13.117500000000001,0.8745,0,0,0.0
252,0.0,0.0,0.874,0,0,0.0
253,0.0,0.0,0.8734999999999999,0,0,0.0
254,0.065475,26.19,0.873,0,0,0.0
255,0.0,0.0,0.8725,0,0,0.0
256,0.1199,47.96,0.872,0,0,0.0
257,0.0,0.0,0.8714999999999999,0,0,0.0
258,0.0871,34.839999999999996,0.871,0,0,0.0
259,0.0,0.0,0.8705,0,0,0.0
260,0.032625,13.05,0.87,0,0,0.0
261,0.032606249999999996,13.042499999999999,0.8694999999999999,0,0,0.0
262,0.0,0.0,0.869,0,0,0.0
263,0.0651375,26.055,0.8685,0,0,0.0
264,0.0,0.0,0.868,0,0,0.0
265,0.03253125,13.0125,0.8674999999999999,0,0,0.0
266,0.0325125,13.004999999999999,0.867,0,0,0.0
267,0.0649875,25.995,0.8665,0,0,0.0
268,0.119075,47.63,0.866,0,0,0.0
269,0.0,0.0,0.8654999999999999,0,0,0.0
270,0.0,0.0,0.865,0,0,0.0
271,0.08645,34.58,0.8645,0,0,0.0
272,0.0324,12.959999999999999,0.864,0,0,0.0
273,0.0,0.0,0.8634999999999999,0,0,0.0
274,0.11866249999999999,47.465,0.863,0,0,0.0
275,0.03234375,12.9375,0.8625,0,0,0.0
276,0.08620000000000001,34.480000000000004,0.862,0,0,0.0
277,0.0,0.0,0.8614999999999999,0,0,0.0
278,0.1468625,58.745,0.861,0,0,0.0
279,0.03226875,12.9075,0.8605,0,0,0.0
280,0.09675,38.7,0.86,0,0,0.0
281,0.11818124999999999,47.272499999999994,0.8594999999999999,0,0,0.0
282,0.0,0.0,0.859,0,0,0.0
283,0.15023750000000002,60.09500000000001,0.8585,0,0,0.0
284,0.117975,47.19,0.858,0,0,0.0
285,0.032156250000000004,12.8625,0.8575,0,0,0.0
286,0.0,0.0,0.857,0,0,0.0
287,0.0,0.0,0.8565,0,0,0.0
288,0.1177,47.08,0.856,0,0,0.0
289,0.08555,34.22,0.8555,0,0,0.0
290,0.0,0.0,0.855,0,0,0.0
291,0.0,0.0,0.8545,0,0,0.0
292,0.032025,12.81,0.854,0,0,0.0
293,0.0,0.0,0.8535,0,0,0.0
294,0.063975,25.59,0.853,0,0,0.0
295,0.08525,34.1,0.8525,0,0,0.0
296,0.0,0.0,0.852,0,0,0.0
297,0.03193125,12.7725,0.8515,0,0,0.0
298,0.0,0.0,0.851,0,0,0.0
299,0.053156249999999995,21.2625,0.8505,0,0,0
300,0.053125,21.25,0.85,0,0,0.0
301,0.08495000000000001,33.980000000000004,0.8495,0,0,0.0
302,0.0318375,12.735,0.849,0,0,0.0
303,0.0,0.0,0.8485,0,0,0.0
304,0.031799999999999995,12.719999999999999,0.848,0,0,0.0
305,0.031781250000000004,12.7125,0.8475,0,0,0.0
306,0.0317625,12.705,0.847,0,0,0.0
307,0.11639374999999999,46.5575,0.8465,0,0,0.0
308,0.031724999999999996,12.69,0.846,0,0,0.0
309,0.0,0.0,0.8455,0,0,0.0
310,0.063375,25.349999999999998,0.845,0,0,0.0
311,0.03166875,12.6675,0.8445,0,0,0.0
312,0.08439999999999999,33.76,0.844,0,0,0.0
313,0.03163125,12.6525,0.8435,0,0,0.0
314,0.0,0.0,0.843,0,0,0.0
315,0.22903125000000002,91.61250000000001,0.8425,0,0,0.0
316,0.031575,12.629999999999999,0.842,0,0,0.0
317,0.03155625,12.6225,0.8415,0,0,0.0
318,0.0,0.0,0.841,0,0,0.0
319,0.03151875,12.6075,0.8405,0,0,0.0
320,0.0315,12.6,0.84,0,0,0.0
321,0.0629625,25.185000000000002,0.8395,0,0,0.0
322,0.0,0.0,0.839,0,0,0.0
323,0.09433125,37.7325,0.8385,0,0,0.0
324,0.0,0.0,0.838,0,0,0.0
325,0.03140625,12.5625,0.8375,0,0,0.0
326,0.0313875,12.555,0.837,0,0,0.0
327,0.0,0.0,0.8365,0,0,0.0
328,0.09405,37.62,0.836,0,0,0.0
329,0.031331250000000005,12.5325,0.8355,0,0,0.0
330,0.0,0.0,0.835,0,0,0.0
331,0.05215625,20.8625,0.8345,0,0,0.0
332,0.06255,25.02,0.834,0,0,0.0
333,0.0625125,25.005,0.8335,0,0,0.0
334,0.031237499999999998,12.495,0.833,0,0,0.0
335,0.05203125,20.8125,0.8325,0,0,0.0
336,0.031199999999999995,12.479999999999999,0.832,0,0,0.0
337,0.0623625,24.945,0.8315,0,0,0.0
338,0.0311625,12.465,0.831,0,0,0.0
339,0.0,0.0,0.8305,0,0,0.0
340,0.031125,12.45,0.83,0,0,0.0
341,0.062212500000000004,24.885,0.8295,0,0,0.0
342,0.031087499999999997,12.434999999999999,0.829,0,0,0.0
343,0.0621375,24.855,0.8285,0,0,0.0
344,0.031050000000000005,12.420000000000002,0.8280000000000001,0,0,0.0
345,0.03103125,12.4125,0.8275,0,0,0.0
346,0.0,0.0,0.827,0,0,0.0
347,0.0,0.0,0.8265,0,0,0.0
348,0.061950000000000005,24.78,0.8260000000000001,0,0,0.0
349,0.03095625,12.3825,0.8255,0,0,0.0
350,0.1134375,45.375,0.825,0,0,0.0
351,0.0618375,24.735,0.8245,0,0,0.0
352,0.030900000000000004,12.360000000000001,0.8240000000000001,0,0,0.0
353,0.11323124999999999,45.2925,0.8235,0,0,0.0
354,0.061724999999999995,24.689999999999998,0.823,0,0,0.0
355,0.03084375,12.3375,0.8225,0,0,0.0
356,0.030825000000000005,12.330000000000002,0.8220000000000001,0,0,0.0
357,0.05134375,20.5375,0.8215,0,0,0.0
358,0.11288749999999999,45.154999999999994,0.821,0,0,0.0
359,0.05128125,20.5125,0.8205,0,0,0.0
360,0.030750000000000003,12.3,0.8200000000000001,0,0,0.0
361,0.0,0.0,0.8195,0,0,0.0
362,0.0307125,12.285,0.819,0,0,0.0
363,0.03069375,12.2775,0.8185,0,0,0.0
364,0.06135000000000001,24.540000000000003,0.8180000000000001,0,0,0.0
365,0.03065625,12.2625,0.8175,0,0,0.0
366,0.0,0.0,0.817,0,0,0.0
367,0.0,0.0,0.8165,0,0,0.0
368,0.0,0.0,0.8160000000000001,0,0,0.0
369,0.11213125,44.8525,0.8155,0,0,0.0
370,0.1315,52.6,0.815,0,0,0.0
371,0.061087499999999996,24.435,0.8145,0,0,0.0
372,0.0814,32.56,0.8140000000000001,0,0,0.0
373,0.0,0.0,0.8135,0,0,0.0
374,0.11178749999999998,44.714999999999996,0.813,0,0,0.0
375,0.0,0.0,0.8125,0,0,0.0
376,0.17255000000000004,69.02000000000001,0.812,0,0,0.0
377,0.03043125,12.1725,0.8115,0,0,0.0
378,0.050687499999999996,20.275,0.8109999999999999,0,0,0.0
379,0.0,0.0,0.8105,0,0,0.0
380,0.0,0.0,0.81,0,0,0.0
381,0.0607125,24.285,0.8095,0,0,0.0
382,0.0303375,12.135,0.8089999999999999,0,0,0.0
383,0.03031875,12.1275,0.8085,0,0,0.0
384,0.11110000000000003,44.440000000000005,0.808,0,0,0.0
385,0.0,0.0,0.8075,0,0,0.0
386,0.0,0.0,0.8069999999999999,0,0,0.0
387,0.09073125000000001,36.292500000000004,0.8065,0,0,0.0
388,0.030225,12.09,0.806,0,0,0.0
389,0.03020625,12.0825,0.8055,0,0,0.0
390,0.1106875,44.275,0.8049999999999999,0,0,0.0
391,0.0,0.0,0.8045,0,0,0.0
392,0.08040000000000001,32.160000000000004,0.804,0,0,0.0
393,0.030131250000000002,12.0525,0.8035,0,0,0.0
394,0.0,0.0,0.8029999999999999,0,0,0.0
395,0.0,0.0,0.8025,0,0,0.0
396,0.0,0.0,0.802,0,0,0.0
397,0.08015,32.06,0.8015,0,0,0.0
398,0.060074999999999996,24.029999999999998,0.8009999999999999,0,0,0.0
399,0.0,0.0,0.8005,0,0,0
400,0.0,0.0,0.8,0,0,0.0
401,0.0,0.0,0.7995,0,0,0.0
402,0.10986249999999999,43.94499999999999,0.7989999999999999,0,0,0.0
403,0.059887499999999996,23.955,0.7985,0,0,0.0
404,0.029925,11.97,0.798,0,0,0.0
405,0.0,0.0,0.7975,0,0,0.0
406,0.1595875,63.834999999999994,0.7969999999999999,0,0,0.0
407,0.0597375,23.895,0.7965,0,0,0.0
408,0.0597,23.880000000000003,0.796,0,0,0.0
409,0.07983124999999999,31.932499999999997,0.7955,0,0,0.0
410,0.0496875,19.875,0.795,0,0,0.0
411,0.07945,31.78,0.7945,0,0,0.0
412,0.0,0.0,0.794,0,0,0.0
413,0.029756249999999998,11.9025,0.7935,0,0,0.0
414,0.10903750000000001,43.615,0.793,0,0,0.0
415,0.07925,31.7,0.7925,0,0,0.0
416,0.0297,11.88,0.792,0,0,0.0
417,0.10883124999999999,43.5325,0.7915,0,0,0.0
418,0.0296625,11.865,0.791,0,0,0.0
419,0.02964375,11.8575,0.7905,0,0,0.0
420,0.0,0.0,0.79,0,0,0.0
421,0.0,0.0,0.7895,0,0,0.0
422,0.0,0.0,0.789,0,0,0.0
423,0.0,0.0,0.7885,0,0,0.0
424,0.0788,31.52,0.788,0,0,0.0
425,0.02953125,11.8125,0.7875,0,0,0.0
426,0.0295125,11.805,0.787,0,0,0.0
427,0.10814374999999998,43.25749999999999,0.7865,0,0,0.0
428,0.05895,23.580000000000002,0.786,0,0,0.0
429,0.04909375,19.6375,0.7855,0,0,0.0
430,0.0,0.0,0.785,0,0,0.0
431,0.02941875,11.7675,0.7845,0,0,0.0
432,0.0,0.0,0.784,0,0,0.0
433,0.029381249999999998,11.7525,0.7835,0,0,0.0
434,0.0880875,35.235,0.783,0,0,0.0
435,0.0,0.0,0.7825,0,0,0.0
436,0.029325,11.73,0.782,0,0,0.0
437,0.0,0.0,0.7815,0,0,0.0
438,0.0781,31.240000000000002,0.781,0,0,0.0
439,0.0,0.0,0.7805,0,0,0.0
440,0.0,0.0,0.78,0,0,0.0
441,0.029231249999999997,11.692499999999999,0.7795,0,0,0.0
442,0.0,0.0,0.779,0,0,0.0
443,0.0,0.0,0.7785,0,0,0.0
444,0.0,0.0,0.778,0,0,0.0
445,0.058312499999999996,23.325,0.7775,0,0,0.0
446,0.029137500000000004,11.655000000000001,0.777,0,0,0.0
447,0.1553,62.11999999999999,0.7765,0,0,0.0
448,0.04850000000000001,19.400000000000002,0.776,0,0,0.0
449,0.0581625,23.265,0.7755,0,0,0.0
450,0.058125,23.25,0.775,0,0,0.0
451,0.0,0.0,0.7745,0,0,0.0
452,0.029025,11.61,0.774,0,0,0.0
453,0.029006249999999997,11.6025,0.7735,0,0,0.0
454,0.07730000000000001,30.92,0.773,0,0,0.0
455,0.0,0.0,0.7725,0,0,0.0
456,0.0579,23.16,0.772,0,0,0.0
457,0.02893125,11.5725,0.7715,0,0,0.0
458,0.0867375,34.695,0.771,0,0,0.0
459,0.1348375,53.935,0.7705,0,0,0.0
460,0.0,0.0,0.77,0,0,0.0
461,0.0,0.0,0.7695,0,0,0.0
462,0.028837500000000002,11.535,0.769,0,0,0.0
463,0.02881875,11.5275,0.7685,0,0,0.0
464,0.048,19.2,0.768,0,0,0.0
465,0.057562499999999996,23.025,0.7675,0,0,0.0
466,0.028762500000000003,11.505,0.767,0,0,0.0
467,0.15539374999999997,62.1575,0.7665,0,0,0.0
468,0.05745,22.98,0.766,0,0,0.0
469,0.0,0.0,0.7655000000000001,0,0,0.0
470,0.0,0.0,0.765,0,0,0.0
471,0.02866875,11.4675,0.7645,0,0,0.0
472,0.057300000000000004,22.92,0.764,0,0,0.0
473,0.02863125,11.4525,0.7635000000000001,0,0,0.0
474,0.0,0.0,0.763,0,0,0.0
475,0.0,0.0,0.7625,0,0,0.0
476,0.05715,22.86,0.762,0,0,0.0
477,0.07615,30.46,0.7615000000000001,0,0,0.0
478,0.133175,53.27,0.761,0,0,0.0
479,0.0,0.0,0.7605,0,0,0.0
480,0.0,0.0,0.76,0,0,0.0
481,0.056962500000000006,22.785000000000004,0.7595000000000001,0,0,0.0
482,0.028462499999999998,11.385,0.759,0,0,0.0
483,0.07584999999999999,30.339999999999996,0.7585,0,0,0.0
484,0.13265000000000002,53.06,0.758,0,0,0.0
485,0.0568125,22.725,0.7575000000000001,0,0,0.0
486,0.08516249999999999,34.065,0.757,0,0,0.0
487,0.02836875,11.3475,0.7565,0,0,0.0
488,0.02835,11.34,0.756,0,0,0.0
489,0.1322125,52.88500000000001,0.7555000000000001,0,0,0.0
490,0.0,0.0,0.755,0,0,0.0
491,0.028293749999999996,11.317499999999999,0.7545,0,0,0.0
492,0.028275,11.31,0.754,0,0,0.0
493,0.02825625,11.3025,0.7535000000000001,0,0,0.0
494,0.0282375,11.295,0.753,0,0,0.0
495,0.02821875,11.2875,0.7525,0,0,0.0
496,0.0564,22.56,0.752,0,0,0.0
497,0.07515000000000001,30.060000000000002,0.7515000000000001,0,0,0.0
498,0.056325,22.53,0.751,0,0,0.0
499,0.028143749999999995,11.257499999999999,0.7505,0,0,0
500,0.05625,22.5,0.75,0,0,0.0
501,0.028106250000000003,11.242500000000001,0.7495,0,0,0.0
502,0.028087499999999998,11.235,0.749,0,0,0.0
503,0.028068749999999996,11.2275,0.7484999999999999,0,0,0.0
504,0.028050000000000002,11.22,0.748,0,0,0.0
505,0.07475,29.9,0.7475,0,0,0.0
506,0.0,0.0,0.747,0,0,0.0
507,0.1306375,52.254999999999995,0.7464999999999999,0,0,0.0
508,0.05595,22.38,0.746,0,0,0.0
509,0.027956250000000002,11.182500000000001,0.7455,0,0,0.0
510,0.0279375,11.175,0.745,0,0,0.0
511,0.17681874999999997,70.72749999999999,0.7444999999999999,0,0,0.0
512,0.0279,11.16,0.744,0,0,0.0
513,0.0557625,22.305,0.7435,0,0,0.0
514,0.0278625,11.145,0.743,0,0,0.0
515,0.027843749999999997,11.1375,0.7424999999999999,0,0,0.0
516,0.0742,29.68,0.742,0,0,0.0
517,0.0556125,22.245,0.7415,0,0,0.0
518,0.0741,29.64,0.741,0,0,0.0
519,0.0,0.0,0.7404999999999999,0,0,0.0
520,0.02775,11.1,0.74,0,0,0.0
521,0.055462500000000005,22.185000000000002,0.7395,0,0,0.0
522,0.027712499999999998,11.084999999999999,0.739,0,0,0.0
523,0.027693749999999996,11.077499999999999,0.7384999999999999,0,0,0.0
524,0.0,0.0,0.738,0,0,0.0
525,0.0,0.0,0.7375,0,0,0.0
526,0.0737,29.48,0.737,0,0,0.0
527,0.0,0.0,0.7364999999999999,0,0,0.0
528,0.0276,11.04,0.736,0,0,0.0
529,0.11951875,47.807500000000005,0.7355,0,0,0.0
530,0.0275625,11.025,0.735,0,0,0.0
531,0.027543749999999995,11.017499999999998,0.7344999999999999,0,0,0.0
532,0.027525,11.01,0.734,0,0,0.0
533,0.0,0.0,0.7335,0,0,0.0
534,0.0458125,18.325,0.733,0,0,0.0
535,0.0,0.0,0.7324999999999999,0,0,0.0
536,0.0,0.0,0.732,0,0,0.0
537,0.02743125,10.9725,0.7315,0,0,0.0
538,0.0,0.0,0.731,0,0,0.0
539,0.054787499999999996,21.915,0.7304999999999999,0,0,0.0
