episode,layout,mean_reward,total_reward,decay_factor,evaluation_reward_greedy_mean,evaluation_reward_greedy_std,moving_avg_train_reward,total_shaped_reward,total_sparse_reward,moving_avg_shaped_reward,moving_avg_sparse_reward
17300,cramped_room,0.45631944444444444,182.52777777777777,0.03888888888888886,0.0,0.0,182.52777777777777,65.0,180,65.0,180.0
17301,forced_coordination,0.05213583333333334,20.854333333333333,0.038833333333333386,0.0,0.0,101.69105555555555,22.0,20,43.5,100.0
17302,forced_coordination,0.052811388888888894,21.124555555555556,0.0387777777777778,0.0,0.0,74.83555555555556,29.0,20,38.666666666666664,73.33333333333333
17303,asymmetric_advantages,0.4148112500000001,165.92450000000005,0.03872222222222221,0.0,0.0,97.60779166666669,153.0,160,67.25,95.0
17304,cramped_room,0.4574433333333333,182.97733333333338,0.03866666666666663,0.0,0.0,114.68170000000002,77.0,180,69.2,112.0
17305,asymmetric_advantages,0.31476875000000004,125.90749999999991,0.03861111111111115,0.0,0.0,116.55266666666667,153.0,120,83.16666666666667,113.33333333333333
17306,asymmetric_advantages,0.4147475,165.89900000000011,0.038555555555555565,0.0,0.0,123.60214285714288,153.0,160,93.14285714285714,120.0
17307,cramped_room,0.4571225,182.84899999999996,0.03849999999999998,0.0,0.0,131.008,74.0,180,90.75,127.5
17308,forced_coordination,0.052498888888888894,20.999555555555553,0.03844444444444439,0.0,0.0,118.78483950617286,26.0,20,83.55555555555556,115.55555555555556
17309,cramped_room,0.4573898611111112,182.95594444444438,0.03838888888888892,0.0,0.0,125.20195000000001,77.0,180,82.9,122.0
17310,cramped_room,0.4578583333333333,183.14333333333337,0.03833333333333333,0.0,0.0,130.4693484848485,82.0,180,82.81818181818181,127.27272727272727
17311,asymmetric_advantages,0.41464124999999996,165.85650000000007,0.038277777777777744,0.0,0.0,133.4182777777778,153.0,160,88.66666666666667,130.0
17312,cramped_room,0.40735777777777776,162.94311111111108,0.03822222222222227,0.0,0.0,135.68941880341885,77.0,160,87.76923076923077,132.30769230769232
17313,asymmetric_advantages,0.41459874999999996,165.83950000000002,0.03816666666666668,0.0,0.0,137.84299603174605,153.0,160,92.42857142857143,134.28571428571428
17314,asymmetric_advantages,0.36352944444444446,145.4117777777778,0.038111111111111096,0.0,0.0,138.3475814814815,142.0,140,95.73333333333333,134.66666666666666
17315,forced_coordination,0.05133194444444444,20.532777777777778,0.03805555555555551,0.0,0.0,130.98415625,14.0,20,90.625,127.5
17316,forced_coordination,0.156555,62.622,0.038000000000000034,0.0,0.0,126.96285294117648,69.0,60,89.3529411764706,123.52941176470588
17317,cramped_room,0.4076837499999999,163.07349999999997,0.03794444444444445,0.0,0.0,128.969,81.0,160,88.88888888888889,125.55555555555556
17318,forced_coordination,0.15530444444444444,62.12177777777779,0.03788888888888886,0.0,0.0,125.45072514619883,56.0,60,87.15789473684211,122.10526315789474
17319,cramped_room,0.4577558333333334,183.10233333333326,0.037833333333333385,0.0,0.0,128.33330555555557,82.0,180,86.9,125.0
17320,cramped_room,0.4574611111111111,182.9844444444445,0.0377777777777778,0.0,0.0,130.93574074074073,79.0,180,86.52380952380952,127.61904761904762
17321,cramped_room,0.45792166666666667,183.1686666666667,0.03772222222222221,0.0,0.0,133.30996464646466,84.0,180,86.4090909090909,130.0
17322,asymmetric_advantages,0.41440749999999993,165.76299999999998,0.037666666666666626,0.0,0.0,134.7209661835749,153.0,160,89.30434782608695,131.30434782608697
17323,asymmetric_advantages,0.3641041666666667,145.6416666666666,0.03761111111111115,0.0,0.0,135.17599537037037,150.0,140,91.83333333333333,131.66666666666666
17324,forced_coordination,0.05206555555555556,20.82622222222222,0.037555555555555564,0.0,0.0,130.60200444444445,22.0,20,89.04,127.2
17325,forced_coordination,0.052625000000000005,21.05,0.03749999999999998,0.0,0.0,126.38846581196582,28.0,20,86.6923076923077,123.07692307692308
17326,asymmetric_advantages,0.41385444444444436,165.54177777777787,0.03744444444444439,0.0,0.0,127.83858847736627,148.0,160,88.96296296296296,124.44444444444444
17327,forced_coordination,0.0005608333333333338,0.2243333333333335,0.037388888888888916,0.0,0.0,123.28093650793652,6.0,0,86.0,120.0
17328,forced_coordination,0.10522666666666666,42.09066666666667,0.03733333333333333,0.0,0.0,120.48127203065134,56.0,40,84.96551724137932,117.24137931034483
17329,asymmetric_advantages,0.46425875,185.70349999999996,0.03727777777777774,0.0,0.0,122.6553462962963,153.0,180,87.23333333333333,119.33333333333333
17330,asymmetric_advantages,0.41423750000000004,165.69500000000005,0.03722222222222227,0.0,0.0,124.04372222222223,153.0,160,89.35483870967742,120.64516129032258
17331,cramped_room,0.4570616666666667,182.82466666666673,0.03716666666666668,0.0,0.0,125.88062673611113,76.0,180,88.9375,122.5
17332,cramped_room,0.4065872222222222,162.6348888888889,0.037111111111111095,0.0,0.0,126.99439225589228,71.0,160,88.39393939393939,123.63636363636364
17333,asymmetric_advantages,0.46417374999999994,185.6694999999999,0.03705555555555551,0.0,0.0,128.72013071895427,153.0,180,90.29411764705883,125.29411764705883
17334,cramped_room,0.45703000000000005,182.81199999999998,0.03700000000000003,0.0,0.0,130.26561269841272,76.0,180,89.88571428571429,126.85714285714286
17335,asymmetric_advantages,0.46413124999999994,185.6525000000001,0.036944444444444446,0.0,0.0,131.80413734567904,153.0,180,91.63888888888889,128.33333333333334
17336,forced_coordination,0.15599444444444444,62.397777777777776,0.03688888888888886,0.0,0.0,129.92828978978983,65.0,60,90.91891891891892,126.48648648648648
